PROM_S,DESVEST_S
29.9887,1.5175
29.9427,1.5169
29.9148,1.5350
29.8996,1.5548
29.9152,1.5176
29.9238,1.5208
29.9122,1.5717
29.8734,1.5893
29.8656,1.6044
29.8379,1.6220
29.8127,1.6181
29.8014,1.5956
29.7746,1.6401
29.7689,1.6730
29.7533,1.6797
29.7669,1.6961
29.7521,1.7705
29.7436,1.7834
29.7302,1.7864
29.7048,1.7796
29.6796,1.7824
29.6575,1.7589
29.6595,1.7831
29.6487,1.7825
29.6482,1.7563
29.6528,1.7652
29.6605,1.7449
29.6750,1.6998
29.6810,1.6885
29.7203,1.6847
29.7284,1.7005
29.7690,1.6303
29.7753,1.6606
29.7574,1.6854
29.7292,1.7033
29.7307,1.6870
29.7183,1.7030
29.7182,1.6819
29.7241,1.6783
29.7194,1.7304
29.6943,1.7605
29.6880,1.7615
29.6585,1.7716
29.6401,1.7619
29.6104,1.7621
29.5778,1.7889
29.5441,1.8179
29.5251,1.7588
29.5218,1.7310
29.5078,1.7774
29.5104,1.7817
29.5163,1.7648
29.4796,1.7864
29.4627,1.8048
29.4453,1.8127
29.4704,1.7788
29.4416,1.8165
29.4356,1.8329
29.4227,1.8313
29.4011,1.8575
29.4132,1.8038
29.4156,1.7648
29.4029,1.7904
29.3978,1.7815
29.3985,1.7471
29.3738,1.7430
29.3831,1.7353
29.4130,1.7223
29.4225,1.7212
29.4304,1.6806
29.4022,1.6922
29.3748,1.6989
29.3657,1.6949
29.3197,1.7323
29.2734,1.7233
29.2229,1.7433
29.1904,1.7900
29.1965,1.7850
29.1988,1.7960
29.2343,1.7743
29.2512,1.7753
29.2627,1.7640
29.2435,1.7658
29.2204,1.7671
29.2017,1.7665
29.2030,1.7476
29.2312,1.7070
29.2384,1.7045
29.2660,1.6762
29.3009,1.6999
29.3295,1.7077
29.3527,1.6804
29.3596,1.6868
29.3504,1.6934
29.3278,1.6979
29.3320,1.7006
29.3118,1.7301
29.3125,1.7377
29.3282,1.7264
29.3669,1.7387
29.4040,1.7494
29.4280,1.7657
29.4288,1.7825
29.4529,1.8025
29.4545,1.7837
29.4600,1.7705
29.4845,1.7570
29.4766,1.7896
29.4949,1.7785
29.5154,1.7694
29.5357,1.7827
29.5450,1.7668
29.5577,1.7524
29.5690,1.7679
29.5556,1.7476
29.5567,1.7373
29.5554,1.7381
29.5735,1.7079
29.5958,1.6843
29.6183,1.6953
29.6472,1.6827
29.6468,1.6850
29.6705,1.6317
29.6992,1.6254
29.7283,1.6407
29.7284,1.6506
29.7676,1.6558
29.8262,1.6616
29.8835,1.6447
29.9597,1.6586
30.0033,1.6586
30.0638,1.6440
30.1342,1.6569
30.2066,1.6804
30.2895,1.6668
30.3804,1.7175
30.4747,1.7154
30.5499,1.7310
30.5994,1.7697
30.6516,1.7806
